timestamp,obsv_id,target_id,x,y,z
1734523533.478765726,0,0,0.000761589,-0.000001674,2.000000000
1734523533.478765726,0,1,4.017203797,0.079820358,1.363230491
1734523533.478765726,0,2,0.102986173,3.905224816,1.201294403
1734523533.478765726,0,3,-0.131658471,-3.925868834,1.072623895
1734523533.478765726,0,4,-4.033331048,-0.125089391,1.300676535
1734523533.478765726,0,5,3.954086695,3.956502225,0.101139958
1734523533.478765726,0,6,-4.025363853,-4.038545499,0.090163506
1734523533.478765726,0,7,-4.050170102,4.041001748,0.110246432
1734523533.478765726,0,8,4.103334387,-4.077901784,0.085908626
1734523533.478765726,0,9,-8.161880190,-0.007031518,1.110661333
1734523533.538765669,1,0,-0.815598359,-0.007433472,1.151814241
1734523533.538765669,1,1,4.000370473,0.000001829,2.000000000
1734523533.538765669,1,2,-3.523632418,3.562936331,0.077975960
1734523533.538765669,1,3,-3.594470797,-3.622289357,0.077600040
1734523533.538765669,1,4,-4.767328048,-0.092960567,1.168789023
1734523533.538765669,1,5,1.463229152,4.101371507,1.056104738
1734523533.538765669,1,6,-7.005516138,-3.616459022,0.246544397
1734523533.538765669,1,7,-5.453955862,2.849844240,0.238684069
1734523533.538765669,1,8,1.420055224,-3.985831364,1.080886960
1734523533.538765669,1,9,-7.990989426,-0.050982179,1.475832405
1734523533.608765841,2,0,-0.104100533,-0.760920582,1.195735807
1734523533.608765841,2,1,3.446156750,-3.391269493,0.089275773
1734523533.608765841,2,2,0.000221427,3.999928397,2.000000000
1734523533.608765841,2,3,-0.002944724,-4.288671143,1.175680973
1734523533.608765841,2,4,-2.096830757,-1.118552694,1.141624761
1734523533.608765841,2,5,4.230510161,1.662088585,1.124368412
1734523533.608765841,2,6,-2.539303742,-4.833559283,0.158577287
1734523533.608765841,2,7,-4.184329593,1.809422969,1.148179543
1734523533.608765841,2,8,2.651511343,-5.102643257,0.198646777
1734523533.608765841,2,9,-5.696199785,-2.676404930,0.165190365
1734523533.668765783,3,0,-0.018447801,0.592033503,1.197683850
1734523533.668765783,3,1,2.977885441,1.389163390,1.037820647
1734523533.668765783,3,2,0.039023351,4.682747182,1.109846054
1734523533.668765783,3,3,0.000274766,-3.999929979,2.000000000
1734523533.668765783,3,4,-2.027061727,1.979196456,0.090124376
1734523533.668765783,3,5,2.554972126,4.940685989,0.189800528
1734523533.668765783,3,6,-4.216915050,-1.572436393,1.146262809
1734523533.668765783,3,7,-2.826695936,5.541242865,0.233169215
1734523533.668765783,3,8,4.086680137,-1.698111918,1.137027569
1734523533.668765783,3,9,-4.845191983,2.260059392,0.183348534
1734523533.738765717,4,0,2.076521057,0.039613601,1.094544664
1734523533.738765717,4,1,4.349306573,-0.011283169,1.098140473
1734523533.738765717,4,2,2.625725222,2.670224751,0.096374900
1734523533.738765717,4,3,3.452217855,-3.561424501,0.068134257
1734523533.738765717,4,4,-3.998195724,-0.000003394,2.000000000
1734523533.738765717,4,5,5.505883312,2.895244705,0.149406385
1734523533.738765717,4,6,-1.330713936,-4.128840432,1.091396457
1734523533.738765717,4,7,-1.292320157,4.144350193,1.038820985
1734523533.738765717,4,8,5.541338217,-2.881793854,0.194665016
1734523533.738765717,4,9,-6.204713618,-0.157719066,1.111420348
1734523533.798765659,5,0,-1.096518124,-1.023632927,0.074420094
1734523533.798765659,5,1,1.287291774,-1.490500311,1.204370973
1734523533.798765659,5,2,-1.081854465,1.387510235,1.156760901
1734523533.798765659,5,3,-1.896793471,-4.016561236,0.223835438
1734523533.798765659,5,4,-6.606820103,-3.087545396,0.221784230
1734523533.798765659,5,5,3.999752582,3.999956031,2.000000000
1734523533.798765659,5,6,-4.284999614,-4.083322649,1.174028107
1734523533.798765659,5,7,-4.877663520,1.588655918,1.238832004
1734523533.798765659,5,8,1.190983160,-4.619904247,1.178830590
1734523533.798765659,5,9,-6.412136733,-1.000718232,1.399109951
1734523533.868765831,6,0,3.420481810,3.393614862,0.067803679
1734523533.868765831,6,1,6.855566287,3.316094081,0.221702179
1734523533.868765831,6,2,2.379212040,4.959899371,0.186509962
1734523533.868765831,6,3,0.846882254,-1.624184183,1.037650917
1734523533.868765831,6,4,-0.991376614,0.565245615,1.050447726
1734523533.868765831,6,5,6.299745528,6.180157658,0.368770457
1734523533.868765831,6,6,-3.999058105,-3.999984948,2.000000000
1734523533.868765831,6,7,-1.238692972,4.315528277,1.179094053
1734523533.868765831,6,8,4.465954850,-1.584046945,1.261308444
1734523533.868765831,6,9,-3.256073054,1.472319941,1.021355954
1734523533.938765764,7,0,0.986813807,-0.722850854,1.171754968
1734523533.938765764,7,1,4.080721166,-1.940089386,0.217572092
1734523533.938765764,7,2,0.953956520,1.590207933,1.070177025
1734523533.938765764,7,3,2.780207965,-5.723273501,0.190609983
1734523533.938765764,7,4,-0.818010765,-0.644689455,1.166146207
1734523533.938765764,7,5,4.535169364,1.566720883,1.116817369
1734523533.938765764,7,6,-1.595202436,-4.088593668,1.343246792
1734523533.938765764,7,7,-3.999091533,3.999981152,2.000000000
1734523533.938765764,7,8,4.291092780,-4.332421700,0.279427644
1734523533.938765764,7,9,-2.905152755,-2.759235134,0.095105658
1734523533.998765707,8,0,-3.184167984,3.149582457,0.059416024
1734523533.998765707,8,1,1.421486061,0.838227561,1.160986175
1734523533.998765707,8,2,-2.524055838,5.163452383,0.143829395
1734523533.998765707,8,3,-1.062017649,-1.520654835,1.138656972
1734523533.998765707,8,4,-3.743934051,1.152871205,1.080193395
1734523533.998765707,8,5,1.160583660,4.495486163,1.082587629
1734523533.998765707,8,6,-4.513160380,-1.737974539,1.145100295
1734523533.998765707,8,7,-5.027646280,5.016381945,0.287882934
1734523533.998765707,8,8,3.999796632,-3.999951910,2.000000000
1734523533.998765707,8,9,-6.624225617,0.844063157,1.416240981
1734523534.058765650,9,0,0.830992140,0.044308546,1.037972466
1734523534.058765650,9,1,4.017632944,-0.081442645,1.421942603
1734523534.058765650,9,2,5.888802806,3.134522299,0.227681598
1734523534.058765650,9,3,3.511007841,-1.879319578,0.160181499
1734523534.058765650,9,4,0.797086993,0.087676897,1.110865148
1734523534.058765650,9,5,4.611573852,2.797875842,1.383112046
1734523534.058765650,9,6,3.010509654,-3.129398147,0.101203338
1734523534.058765650,9,7,2.040867478,2.187461759,0.101075441
1734523534.058765650,9,8,4.491874011,-3.012075641,1.422987347
1734523534.058765650,9,9,-7.997080922,-0.000003874,2.000000000
1734523534.128765821,0,0,0.002205025,-0.000010817,2.000000000
1734523534.128765821,0,1,4.091746710,0.055618800,0.621531543
1734523534.128765821,0,2,0.099721333,3.877111715,0.614890596
1734523534.128765821,0,3,-0.016821151,-4.105837769,0.442446691
1734523534.128765821,0,4,-4.047504548,0.015123639,0.685186047
1734523534.128765821,0,5,3.928973792,3.937430633,-0.018599837
1734523534.128765821,0,6,-4.050049041,-4.100723788,0.012607864
1734523534.128765821,0,7,-4.026732533,3.976634493,0.000932430
1734523534.128765821,0,8,4.066704743,-4.040552360,-0.054029245
1734523534.128765821,0,9,-7.924594172,-0.102349876,0.545622733
1734523534.188765764,1,0,-1.653171957,-0.049483841,0.388144188
1734523534.188765764,1,1,3.999541392,0.000021388,2.000000000
1734523534.188765764,1,2,-4.161905342,4.149097842,-0.005967101
1734523534.188765764,1,3,-4.011951927,-4.048271653,-0.010432371
1734523534.188765764,1,4,-4.533532232,-0.067837464,0.499438287
1734523534.188765764,1,5,0.166535740,4.282457813,0.509191092
1734523534.188765764,1,6,-7.399425738,-3.783744442,-0.020411944
1734523534.188765764,1,7,-5.888995280,3.033616038,0.025009176
1734523534.188765764,1,8,0.281483337,-4.093864682,0.615343698
1734523534.188765764,1,9,-7.959811074,-0.075518671,0.897150270
1734523534.258765697,2,0,0.056891167,-1.917563440,0.511633033
1734523534.258765697,2,1,3.707752769,-3.779098583,-0.006385650
1734523534.258765697,2,2,0.001388138,3.999364339,2.000000000
1734523534.258765697,2,3,-0.033375597,-4.493942803,0.497856232
1734523534.258765697,2,4,-3.325108418,-3.330162943,0.018996048
1734523534.258765697,2,5,4.104988388,0.224249113,0.614511995
1734523534.258765697,2,6,-2.865372732,-5.614779723,-0.000224403
1734523534.258765697,2,7,-4.050732981,0.760867333,0.570908550
1734523534.258765697,2,8,2.964388208,-5.854676914,0.006869430
1734523534.258765697,2,9,-7.196142390,-3.649675211,-0.035543919
1734523534.318765879,3,0,-0.038103305,1.355737785,0.445426749
1734523534.318765879,3,1,2.661810927,2.618529481,-0.022059703
1734523534.318765879,3,2,0.032135439,4.771299274,0.664835687
1734523534.318765879,3,3,0.001153930,-3.999421342,2.000000000
1734523534.318765879,3,4,-2.886516053,2.935469056,-0.017782420
1734523534.318765879,3,5,2.723379506,5.463483670,0.017226236
1734523534.318765879,3,6,-4.118401275,-0.677049576,0.493900516
1734523534.318765879,3,7,-2.902634873,5.940829542,0.021279568
1734523534.318765879,3,8,3.803366490,-0.317685026,0.592353769
1734523534.318765879,3,9,-6.319331106,3.228341357,-0.037856139
1734523534.378765821,4,0,2.595819902,0.083962789,0.535408817
1734523534.378765821,4,1,4.572554141,-0.009078291,0.533639835
1734523534.378765821,4,2,2.877671175,2.939898157,0.030095844
1734523534.378765821,4,3,3.371944067,-3.347208959,0.037117269
1734523534.378765821,4,4,-3.992120249,-0.000001944,2.000000000
1734523534.378765821,4,5,5.897074392,3.013884926,0.028135726
1734523534.378765821,4,6,-0.423514791,-3.916154848,0.506110687
1734523534.378765821,4,7,-0.435485574,4.138693460,0.573375522
1734523534.378765821,4,8,5.736799308,-2.936761671,0.078231459
1734523534.378765821,4,9,-3.877573586,0.009671128,0.423612943
1734523534.448765755,5,0,-2.293381386,-2.355111710,-0.012926492
1734523534.448765755,5,1,0.181072737,-2.684111769,0.554996636
1734523534.448765755,5,2,-3.096273913,0.089586176,0.637203466
1734523534.448765755,5,3,-2.382512509,-4.780480797,0.087488872
1734523534.448765755,5,4,-5.924049451,-2.930123590,0.034065685
1734523534.448765755,5,5,3.997869738,3.999491465,2.000000000
1734523534.448765755,5,6,-5.740791340,-5.644037077,0.071858015
1734523534.448765755,5,7,-5.312160514,0.634625888,0.496764408
1734523534.448765755,5,8,0.141670452,-5.435133065,0.510666205
1734523534.448765755,5,9,-5.154266834,-1.457582117,0.744121953
1734523534.508765697,6,0,3.569699552,3.541020201,0.047194477
1734523534.508765697,6,1,6.430871883,3.219992091,0.036279952
1734523534.508765697,6,2,2.920349832,5.962048380,0.033920803
