timestamp,obsv_id,target_id,x,y,z
1734523533.478765726,0,1,7.497246916,0.184892750,-0.084281402
1734523533.478765726,0,2,0.159680726,3.721999979,0.180262098
1734523533.478765726,0,3,-0.200533384,-3.818579681,-0.112943714
1734523533.478765726,0,4,-7.488865256,-0.289087599,-0.288661642
1734523533.478765726,0,5,3.839811678,3.842020472,0.021596877
1734523533.478765726,0,6,-4.081117266,-4.094826334,0.010152197
1734523533.478765726,0,7,-4.125913003,4.116988563,0.031074834
1734523533.478765726,0,8,4.215305534,-4.189870328,0.005739808
1734523533.478765726,0,9,-8.653399709,-0.010881935,-0.026272533
1734523533.538765669,1,0,-3.815619974,-0.011057093,0.067867397
1734523533.538765669,1,2,-4.192387031,4.163144936,-0.002603864
1734523533.538765669,1,3,-4.029122524,-3.989477811,-0.002878318
1734523533.538765669,1,4,-7.265306663,-0.156370108,0.106322116
1734523533.538765669,1,5,0.197762226,4.050603086,-0.150584373
1734523533.538765669,1,6,-7.943568951,-4.016819011,0.062915964
1734523533.538765669,1,7,-7.953634823,4.011597897,0.054253113
1734523533.538765669,1,8,0.118427884,-3.710484492,-0.094185338
1734523533.538765669,1,9,-7.493723806,-0.114682990,0.284519461
1734523533.608765841,2,0,-0.151546639,-4.367197713,0.168423507
1734523533.608765841,2,1,4.083178083,-4.119905933,0.009330919
1734523533.608765841,2,3,-0.011130251,-8.621146701,0.122398465
1734523533.608765841,2,4,-3.317088057,-3.701642263,0.044729819
1734523533.608765841,2,5,4.329214407,0.104987037,0.004973575
1734523533.608765841,2,6,-3.766223967,-7.431700807,-0.034103721
1734523533.608765841,2,7,-4.290672107,0.256570128,0.059219036
1734523533.608765841,2,8,4.438520112,-8.838706024,0.010672965
1734523533.608765841,2,9,-7.993708043,-3.994624890,-0.026668820
1734523533.668765783,3,0,-0.028809436,4.071366636,0.172005399
1734523533.668765783,3,1,4.012108424,3.968026110,-0.192407875
1734523533.668765783,3,2,0.049284261,8.351400634,-0.028546920
1734523533.668765783,3,4,-4.214461698,4.231145151,0.010126761
1734523533.668765783,3,5,3.696368003,7.384715263,0.000185966
1734523533.668765783,3,6,-4.515419141,0.155474098,0.054805643
