timestamp,id,x,y,z
1734523533.478765726,0,-0.000259725,-0.044282364,1.503649906
1734523533.478765726,1,3.999740275,-0.044282365,1.503233339
1734523533.478765726,2,-0.000259725,3.955717637,1.502709619
1734523533.478765726,3,-0.000259725,-4.044282365,1.503674566
1734523533.478765726,4,-4.000259725,-0.044282365,1.503652069
1734523533.478765726,5,3.999740275,3.955717638,1.503534368
1734523533.478765726,6,-4.000259725,-4.044282364,1.503186867
1734523533.478765726,7,-4.000259725,3.955717638,1.503204738
1734523533.478765726,8,3.999740275,-4.044282364,1.504456690
1734523533.478765726,9,-8.000259725,-0.044282364,1.503706240
1734523533.538765669,0,-0.000259725,-0.044282364,1.503649906
1734523533.538765669,1,3.999740275,-0.044282365,1.503233339
1734523533.538765669,2,-0.000259725,3.955717637,1.502724350
1734523533.538765669,3,-0.000259725,-4.044282365,1.503674566
1734523533.538765669,4,-4.000259725,-0.044282365,1.503652069
1734523533.538765669,5,3.999740275,3.955717638,1.503546575
1734523533.538765669,6,-4.000259725,-4.044282364,1.503186867
1734523533.538765669,7,-4.000259725,3.955717638,1.503204738
1734523533.538765669,8,3.999740275,-4.044282364,1.504456690
1734523533.538765669,9,-8.000259725,-0.044282364,1.503706240
1734523533.608765841,0,-0.000259725,-0.044282364,1.503649906
1734523533.608765841,1,3.999740275,-0.044282365,1.503233339
1734523533.608765841,2,-0.000259725,3.955717637,1.502724350
1734523533.608765841,3,-0.000259725,-4.044282365,1.503674566
1734523533.608765841,4,-4.000259725,-0.044282365,1.503652069
1734523533.608765841,5,3.999740275,3.955717638,1.503546575
1734523533.608765841,6,-4.000259725,-4.044282364,1.503186867
1734523533.608765841,7,-4.000259725,3.955717638,1.503204738
1734523533.608765841,8,3.999740275,-4.044282364,1.504456690
1734523533.608765841,9,-8.000259725,-0.044282364,1.503706240
1734523533.668765783,0,-0.000259725,-0.044282364,1.503649906
1734523533.668765783,1,3.999740275,-0.044282365,1.503233339
1734523533.668765783,2,-0.000259725,3.955717637,1.502724350
1734523533.668765783,3,-0.000259725,-4.044282365,1.503674566
1734523533.668765783,4,-4.000259725,-0.044282365,1.503652069
1734523533.668765783,5,3.999740275,3.955717638,1.503546575
1734523533.668765783,6,-4.000259725,-4.044282364,1.503186867
1734523533.668765783,7,-4.000259725,3.955717638,1.503204738
1734523533.668765783,8,3.999740275,-4.044282364,1.504456690
1734523533.668765783,9,-8.000259725,-0.044282364,1.503706240
1734523533.738765717,0,-0.000259725,-0.044282364,1.503649906
1734523533.738765717,1,3.999740275,-0.044282365,1.503233339
1734523533.738765717,2,-0.000259725,3.955717637,1.502724350
1734523533.738765717,3,-0.000259725,-4.044282365,1.503674566
1734523533.738765717,4,-4.000259725,-0.044282365,1.503652069
1734523533.738765717,5,3.999740275,3.955717638,1.503546575
1734523533.738765717,6,-4.000259725,-4.044282364,1.503186867
1734523533.738765717,7,-4.000259725,3.955717638,1.503204738
1734523533.738765717,8,3.999740275,-4.044282364,1.504456690
1734523533.738765717,9,-8.000259725,-0.044282364,1.503706240
1734523533.798765659,0,-0.000259725,-0.044282364,1.503649906
1734523533.798765659,1,3.999740275,-0.044282365,1.503233339
1734523533.798765659,2,-0.000259725,3.955717637,1.502724350
1734523533.798765659,3,-0.000259725,-4.044282365,1.503674566
1734523533.798765659,4,-4.000259725,-0.044282365,1.503652069
1734523533.798765659,5,3.999740275,3.955717638,1.503546575
1734523533.798765659,6,-4.000259725,-4.044282364,1.503186867
1734523533.798765659,7,-4.000259725,3.955717638,1.503204738
1734523533.798765659,8,3.999740275,-4.044282364,1.504456690
1734523533.798765659,9,-8.000259725,-0.044282364,1.503706240
1734523533.868765831,0,-0.000259725,-0.044282364,1.503649906
1734523533.868765831,1,3.999740275,-0.044282365,1.503233339
1734523533.868765831,2,-0.000259725,3.955717637,1.502724350
1734523533.868765831,3,-0.000259725,-4.044282365,1.503674566
1734523533.868765831,4,-4.000259725,-0.044282365,1.503652069
1734523533.868765831,5,3.999740275,3.955717638,1.503546575
1734523533.868765831,6,-4.000259725,-4.044282364,1.503186867
1734523533.868765831,7,-4.000259725,3.955717638,1.503204738
1734523533.868765831,8,3.999740275,-4.044282364,1.504456690
1734523533.868765831,9,-8.000259725,-0.044282364,1.503706240
1734523533.938765764,0,-0.000259725,-0.044282364,1.503649906
1734523533.938765764,1,3.999740275,-0.044282365,1.503233339
1734523533.938765764,2,-0.000259725,3.955717637,1.502724350
1734523533.938765764,3,-0.000259725,-4.044282365,1.503674566
1734523533.938765764,4,-4.000259725,-0.044282365,1.503652069
1734523533.938765764,5,3.999740275,3.955717638,1.503546575
1734523533.938765764,6,-4.000259725,-4.044282364,1.503186867
1734523533.938765764,7,-4.000259725,3.955717638,1.503204738
1734523533.938765764,8,3.999740275,-4.044282364,1.504456690
1734523533.938765764,9,-8.000259725,-0.044282364,1.503706240
1734523533.998765707,0,-0.000259725,-0.044282364,1.503649906
1734523533.998765707,1,3.999740275,-0.044282365,1.503233339
1734523533.998765707,2,-0.000259725,3.955717637,1.502724350
1734523533.998765707,3,-0.000259725,-4.044282365,1.503674566
1734523533.998765707,4,-4.000259725,-0.044282365,1.503652069
1734523533.998765707,5,3.999740275,3.955717638,1.503546575
1734523533.998765707,6,-4.000259725,-4.044282364,1.503186867
1734523533.998765707,7,-4.000259725,3.955717638,1.503204738
1734523533.998765707,8,3.999740275,-4.044282364,1.504456690
1734523533.998765707,9,-8.000259725,-0.044282364,1.503706240
1734523534.058765650,0,-0.000259725,-0.044282364,1.503649906
1734523534.058765650,1,3.999740275,-0.044282365,1.503233339
1734523534.058765650,2,-0.000259725,3.955717637,1.502724350
1734523534.058765650,3,-0.000259725,-4.044282365,1.503674566
1734523534.058765650,4,-4.000259725,-0.044282365,1.503652069
1734523534.058765650,5,3.999740275,3.955717638,1.503546575
1734523534.058765650,6,-4.000259725,-4.044282364,1.503186867
1734523534.058765650,7,-4.000259725,3.955717638,1.503204738
1734523534.058765650,8,3.999740275,-4.044282364,1.504456690
1734523534.058765650,9,-8.000259725,-0.044282364,1.503706240
1734523534.128765821,0,-0.000259725,-0.044282364,1.503664795
1734523534.128765821,1,3.999740275,-0.044282365,1.503301807
1734523534.128765821,2,-0.000259725,3.955717637,1.502772899
1734523534.128765821,3,-0.000259725,-4.044282365,1.503691861
1734523534.128765821,4,-4.000259725,-0.044282365,1.503677872
1734523534.128765821,5,3.999740275,3.955717638,1.503565123
1734523534.128765821,6,-4.000259725,-4.044282364,1.503242749
1734523534.128765821,7,-4.000259725,3.955717638,1.503288674
1734523534.128765821,8,3.999740275,-4.044282364,1.504098845
1734523534.128765821,9,-8.000259725,-0.044282364,1.503733957
1734523534.188765764,0,-0.000259725,-0.044282364,1.503664795
1734523534.188765764,1,3.999740275,-0.044282365,1.503301807
1734523534.188765764,2,-0.000259725,3.955717637,1.502772899
1734523534.188765764,3,-0.000259725,-4.044282365,1.503691861
1734523534.188765764,4,-4.000259725,-0.044282365,1.503677872
1734523534.188765764,5,3.999740275,3.955717638,1.503565123
1734523534.188765764,6,-4.000259725,-4.044282364,1.503242749
1734523534.188765764,7,-4.000259725,3.955717638,1.503288674
1734523534.188765764,8,3.999740275,-4.044282364,1.504098845
1734523534.188765764,9,-8.000259725,-0.044282364,1.503733957
1734523534.258765697,0,-0.000259725,-0.044282364,1.503664795
1734523534.258765697,1,3.999740275,-0.044282365,1.503301807
1734523534.258765697,2,-0.000259725,3.955717637,1.502772899
1734523534.258765697,3,-0.000259725,-4.044282365,1.503691861
1734523534.258765697,4,-4.000259725,-0.044282365,1.503677872
1734523534.258765697,5,3.999740275,3.955717638,1.503565123
1734523534.258765697,6,-4.000259725,-4.044282364,1.503242749
1734523534.258765697,7,-4.000259725,3.955717638,1.503288674
1734523534.258765697,8,3.999740275,-4.044282364,1.504098845
1734523534.258765697,9,-8.000259725,-0.044282364,1.503733957
1734523534.318765879,0,-0.000259725,-0.044282364,1.503664795
1734523534.318765879,1,3.999740275,-0.044282365,1.503301807
1734523534.318765879,2,-0.000259725,3.955717637,1.502772899
1734523534.318765879,3,-0.000259725,-4.044282365,1.503691861
1734523534.318765879,4,-4.000259725,-0.044282365,1.503677872
1734523534.318765879,5,3.999740275,3.955717638,1.503565123
1734523534.318765879,6,-4.000259725,-4.044282364,1.503242749
1734523534.318765879,7,-4.000259725,3.955717638,1.503288674
1734523534.318765879,8,3.999740275,-4.044282364,1.504098845
1734523534.318765879,9,-8.000259725,-0.044282364,1.503733957
1734523534.378765821,0,-0.000259725,-0.044282364,1.503664795
1734523534.378765821,1,3.999740275,-0.044282365,1.503301807
1734523534.378765821,2,-0.000259725,3.955717637,1.502772899
1734523534.378765821,3,-0.000259725,-4.044282365,1.503691861
1734523534.378765821,4,-4.000259725,-0.044282365,1.503677872
1734523534.378765821,5,3.999740275,3.955717638,1.503565123
1734523534.378765821,6,-4.000259725,-4.044282364,1.503242749
1734523534.378765821,7,-4.000259725,3.955717638,1.503288674
1734523534.378765821,8,3.999740275,-4.044282364,1.504098845
1734523534.378765821,9,-8.000259725,-0.044282364,1.503733957
1734523534.448765755,0,-0.000259725,-0.044282364,1.503664795
1734523534.448765755,1,3.999740275,-0.044282365,1.503301807
1734523534.448765755,2,-0.000259725,3.955717637,1.502772899
